Bangladesh medical journal,Bangladesh Med J
Vital speeches of the day,Vital Speeches Day
Comptes rendus biologies,C R Biol
Bioprocess technology,Bioprocess Technol
Revue odonto stomatologique du Nord-Est,Rev Odontostomatol Nordest
Study encounter,Study Encounter
"Nutrition research (New York, N.Y.)",Nutr Res
The Florida nurse,Fla Nurse
Archiwum historii medycyny,Arch Hist Med (Warsz)
Today's nursing home,Todays Nurs Home
Pediatric radiology,Pediatr Radiol
Journal of interprofessional care,J Interprof Care
Journal of tissue viability,J Tissue Viability
Journal of African history,J Afr Hist
Clinical oncology (Royal College of Radiologists (Great Britain)),Clin Oncol (R Coll Radiol)
Gazzetta degli ospedali e delle cliniche,Gazz Osp Clin
Annals of biomedical engineering,Ann Biomed Eng
Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft,Ann Anat
Fortschritte der Kieferorthopadie,Fortschr Kieferorthop
"Rontgenpraxis; Diagnostik, Rontgen-, Radium-, Lichttherapie",Rontgenprax Diagn Rontgen Radium Lichtther
Disease markers,Dis Markers
Journal of mathematical neuroscience,J Math Neurosci
Bildgebung = Imaging,Bildgebung
Current cardiology reports,Curr Cardiol Rep
"Reihe, Medizinische Forschung",Reihe Med Forsch
Minnesota medicine,Minn Med
International journal of computational geometry \& applications,Int J Comput Geom Appl
Social behavior and personality,Soc Behav Pers
Medical interface,Med Interface
The Johns Hopkins Nurses' alumni magazine,Johns Hopkins Nurses Alumni Mag
Faits et tendances,Fait Tend
Tidsskrift for sygeplejersker,Tidsskr Sygepl
Report of the proceedings of the ... convention ... Cremation Association of America,Rep Proc Cremation Assoc Am
Clinical immunology reviews,Clin Immunol Rev
Sudhoffs Archiv,Sudhoffs Arch
CANA,CANA
JACEP,JACEP
The Journal of the New Jersey State Dental Society,J N J State Dent Soc
New York University journal of international law \& politics. New York University. International Law Society,N Y Univ J Int Law Polit
Ciencia y desarrollo,Cienc Desarro
Therapeutique / Entretiens de Bichat Pitie-Salpetriere. Entretiens de Bichat Pitie-Salpetriere,Entret Bichat Pitie Salpetriere Ther
European journal of clinical nutrition,Eur J Clin Nutr
The Connecticut Historical Society bulletin,Conn Hist Soc Bull
Juristat,Juristat
Brown University digest of addiction theory and application : DATA,Brown Univ Dig Addict Theory Appl
Roeper review,Roeper Rev
Cancer epidemiology,Cancer Epidemiol
Dimensions/NBS,Dimensions (Wash)
Journal of clinical psychopharmacology,J Clin Psychopharmacol
Bulletin of hygiene,Bull Hyg (Lond)
Ceskoslovenska radiologie,Cesk Radiol
Journal of voice : official journal of the Voice Foundation,J Voice
Chemphyschem : a European journal of chemical physics and physical chemistry,Chemphyschem
Journal of thermal biology,J Therm Biol
Evocations,Evocations
Japanese heart journal,Jpn Heart J
Clinics in chest medicine,Clin Chest Med
Proceedings - Society of Photo-Optical Instrumentation Engineers,Proc Soc Photo Opt Instrum Eng
Boletin medico-social,Bol Med Soc
Journal of digestive diseases,J Dig Dis
Les Annales homeopathiques francaises,Ann Homeopath Fr
Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,Dig Endosc
"Journal of aggression, maltreatment \& trauma",J Aggress Maltreat Trauma
Revue internationale de philosophie,Rev Int Philos
Australian journal of public health,Aust J Public Health
The Jackson Clinic bulletin,Jackson Clin Bull
HealthAction,HealthAction
Policy studies review,Policy Stud Rev
Medical hypotheses,Med Hypotheses
Cuadernos de historia de la salud publica,Cuad Hist Salud Publica
Journal of computer-aided molecular design,J Comput Aided Mol Des
Berita jururawat,Berita Jururawat
Psychology of violence,Psychol Violence
The Southwestern naturalist,Southwest Nat
Archiv fur Kinderheilkunde,Arch Kinderheilkd
Brazilian journal of otorhinolaryngology,Braz J Otorhinolaryngol
Zeitschrift fur die gesamte experimentelle Medizin einschliesslich experimentelle Chirurgie,Z Gesamte Exp Med
Frontiers in evolutionary neuroscience,Front Evol Neurosci
Optics express,Opt Express
Glasnik. Republicki zavod za zdravstvenu zastitu SR Srbije,Glas Zavodzdrav
Modern trends in surgery,Mod Trends Surg
Acta veterinaria Scandinavica. Supplementum,Acta Vet Scand Suppl
Turun historiallinen arkisto,Turun Hist Ark (Finl)
Polish Western affairs,Pol West Aff
Germantowne crier,Germant Crier
al-Mustaqbal al-'Arabi,Almustaqbal Alarabi
Image,Image (IN)
Neurosurgery,Neurosurgery
Diagnostics \& traitements,Diagn Traitements
The American journal of obstetrics and diseases of women and children,Am J Obstet Dis Women Child
Journal of the American Mosquito Control Association. Supplement,J Am Mosq Control Assoc Suppl
Anais da Academia Brasileira de Ciencias,An Acad Bras Cienc
Archives of natural history,Arch Nat Hist
Odontiatrike,Odontiatriki
Pflege Zeitschrift,Pflege Z
Social work in education,Soc Work Educ
European Quality Assurance Network newsletter / EuroQuan,Eur Qual Assur Netw Newsl
EcoHealth,Ecohealth
Proceedings of the Western Pharmacology Society,Proc West Pharmacol Soc
Welfare in review,Welf Rev
Geriatric nursing,Geriatr Nurs (Minneap)
Revista da Faculdade de Odontologia da FZL,Rev Faculdade Odontol FZL
Clinica del torax,Clin Torax
Zeitschrift fur Psychosomatische Medizin und Psychotherapie,Z Psychosom Med Psychother
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus / I.S.D.E,Dis Esophagus
Applied cognitive psychology,Appl Cogn Psychol
Revista odontologica do Parana,Rev Odontol Parana
Indian medical record,Indian Med Rec
Journal of communication disorders,J Commun Disord
Asian profile,Asian Profile
Veroffentlichungen der Internationalen Gesellschaft fur Geschichte der Pharmazie e. V,Veroff Int Ges Gesch Pharm
Acta paedopsychiatrica,Acta Paedopsychiatr
New York medicine,NY Med
Critical care nursing quarterly,Crit Care Nurs Q
Dermatologia ibero latino-americana,Dermatol Iber Lat Am
"International journal of radiation oncology, biology, physics",Int J Radiat Oncol Biol Phys
Archivio italiano di scienze farmacologiche,Arch Ital Sci Farmacol
Journal of chiropractic medicine,J Chiropr Med
Brethren life and thought,Brethr Life Thought
British history illustrated,Br Hist Illus
Wilderness \& environmental medicine,Wilderness Environ Med
Revista ecuatoriana de pediatria,Rev Ecuat Pediatr
Clinical \& translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,Clin Transl Oncol
Society and culture,Soc Cult
American journal of lifestyle medicine,Am J Lifestyle Med
Actas de dermatologia \& dermatopatologia,Actas Dermatol Dermatopatol
CDT digest,CDT Dig
Studies in mycology,Stud Mycol
"Biologist (London, England)",Biologist (London)
Binocular vision \& strabismus quarterly,Binocul Vis Strabismus Q
"Tijdschrift voor bejaarden-, kraam- en ziekenversorging : bkz",Tijdschr Bejaarden Kraam Ziekenverzorging
Primary health care research \& development,Prim Health Care Res Dev
Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,J Endovasc Ther
Public health ethics,Public Health Ethics
INSTRAW news : women and development,INSTRAW News
European journal of toxicology and hygiene of environment,Eur J Toxicol Hyg Environ
Bulletin sanitaire,Bull Sanit
Revista neurologica de Buenos Aires,Rev Neurol B Aires
Giornale di gerontologia,G Gerontol
Lens and eye toxicity research,Lens Eye Toxic Res
"Metabolic, pediatric, and systemic ophthalmology",Metab Pediatr Syst Ophthalmol
State Coverage Initiatives issue brief : a national initiative of the Robert Wood Johnson Foundation,State Coverage Initiat Issue Brief
Proceedings of the annual meeting of the American Psychopathological Association,Proc Annu Meet Am Psychopathol Assoc
Journal of biomedical materials research,J Biomed Mater Res
Measurement science \& technology,Meas Sci Technol
Dynamische Psychiatrie. Dynamic psychiatry,Dyn Psychiatr
Journal of divorce,J Divorce
Italian journal of public health,Ital J Public Health
Nursing spectrum (Illinois ed.),Nurs Spectr (Gt Chic Ne Ill Nw Indiana Ed)
The hospitalist,Hospitalist
"Current population reports. Series P-28, Special censuses",Curr Popul Rep Spec Censuses
Operative dentistry. Supplement,Oper Dent Suppl
"Archivos de medicina interna (Montevideo, Uruguay)",Arch Med Intern
IEEE transactions on robotics and automation : a publication of the IEEE Robotics and Automation Society,IEEE Trans Rob Autom
Semaine medicale professionelle et medico-sociale,Sem Med Prof Med Soc
American journal of reproductive immunology and microbiology : AJRIM,Am J Reprod Immunol Microbiol
Acta urologica,Acta Urol
Fungal biology,Fungal Biol
"Monthly review (New York, N.Y. : 1949)",Mon Rev
LC GC : magazine of liquid and gas chromatography,LC GC
"Neoplasia (New York, N.Y.)",Neoplasia
International journal of quantum chemistry,Int J Quantum Chem
Transactions of the Association of Life Insurance Medical Directors of America,Trans Assoc Life Insur Med Dir Am
International journal of language \& communication disorders / Royal College of Speech \& Language Therapists,Int J Lang Commun Disord
"Chemical communications (Cambridge, England)",Chem Commun (Camb)
The Psychiatric quarterly. Supplement,Psychiatr Q Suppl
Nursing spectrum (Greater Philadelphia/Tri-state ed.),Nurs Spectr (Gt Phila Tri State Ed)
Revue francaise de science politique,Rev Fr Sci Polit
Immunological reviews,Immunol Rev
European journal of chemistry (Print),Eur J Chem
One on one,One One
Die Waage,Waage
Ethnicity \& disease,Ethn Dis
Klinik und Praxis,Klin Prax
Schizophrenia research,Schizophr Res
[Xin Zhong hua yi yao yue kan] [New China medical monthly],Xin Zhong Hua Yi Yao Yue Kan
Radiography,Radiography
New York Law School journal of international and comparative law,N Y Law Sch J Int Comp Law
Ankara Universitesi Dis Hekimligi Fakultesi dergisi = The Journal of the Dental Faculty of Ankara University,Ankara Univ Hekim Fak Derg
Zhonghua fang she xue za zhi Chinese journal of radiology,Zhonghua Fang She Xue Za Zhi
Richmond County history,Richmond Cty Hist
Journal of family social work,J Fam Soc Work
Deutsche medizinische Wochenschrift (1946),Dtsch Med Wochenschr
Budapest statisztikai zsebkonyve,Bp Stat Zsebkv
Journal of cyclic nucleotide research,J Cyclic Nucleotide Res
Clinical and experimental pharmacology \& physiology,Clin Exp Pharmacol Physiol
"DNA (Mary Ann Liebert, Inc.)",DNA
St. Vincent's Hospital medical bulletin,ST Vincents Hosp Med Bull
New internationalist,New Int
Minerva ortopedica,Minerva Ortop
"IEEE transactions on systems, man and cybernetics. Part C, Applications and reviews : a publication of the IEEE Systems, Man, and Cybernetics Society",IEEE Trans Syst Man Cybern C Appl Rev
Revista paulista de odontologia,Rev Paul Odontol
"Acta medica (Hradec Kralove) / Universitas Carolina, Facultas Medica Hradec Kralove",Acta Medica (Hradec Kralove)
Best practice \& research. Clinical anaesthesiology,Best Pract Res Clin Anaesthesiol
Medical abstracts,Med Abstr
Italian journal of pediatrics,Ital J Pediatr
Journal of pathology informatics,J Pathol Inform
"Eighteenth century (Lubbock, Tex.)",Eighteenth Century (Lubbock)
Archiv fur Sozialgeschichte,Arch Sozialgesch
Oral oncology,Oral Oncol
The Human life review,Hum Life Rev
The bibliotheck,Bibliotheck
Hampshire : the county magazine,Hampshire
Annals of behavioral medicine : a publication of the Society of Behavioral Medicine,Ann Behav Med
Surgical innovation,Surg Innov
"Comprehensive gerontology. Section C, Interdisciplinary topics",Compr Gerontol C
Warasan prachakon lae sangkhom = Journal of population and social studies,Warasan Prachakon Lae Sangkhom
Journal of ecumenical studies,J Ecumenical Stud
Journal of aging and health,J Aging Health
Rivista dell'infermiere,Riv Inferm
"Journal of emergencies, trauma, and shock",J Emerg Trauma Shock
Monographs in the surgical sciences,Monogr Surg Sci
Revista colombiana de obstetricia y ginecologia,Rev Colomb Obstet Ginecol
Frontiers of medicine in China,Front Med China
Ethnicity,Ethnicity
Canadian journal of biochemistry,Can J Biochem
Journal of the Asiatic Society of Bangladesh. Humanities,J Asiat Soc Bangladesh Humanit
Journal of the Formosan Medical Association = Taiwan yi zhi,J Formos Med Assoc
Bulletin et memoires de l'Academie royale de medecine de Belgique,Bull Mem Acad R Med Belg
Transactions of the American Academy of Insurance Medicine : Annual Meeting. American Academy of Insurance Medicine. Meeting,Trans Am Acad Insur Med
The Journal of pathology and bacteriology,J Pathol Bacteriol
"Revista De La Escuela De Odontologia, Universidad Nacional De Tucuman, Facultad De Medicina",Rev Esc Odontol Tucuman
Aramco world magazine,Aramco World Mag
"Eye (London, England)",Eye (Lond)
Social praxis,Soc Prax
Integrative psychological \& behavioral science,Integr Psychol Behav Sci
Journal of the American College of Surgeons,J Am Coll Surg
Current clinical pharmacology,Curr Clin Pharmacol
Isokinetics and exercise science,Isokinet Exerc Sci
Splice : the splice of life,Splice Life
Acta Universitatis Agriculturae. Facultas agronomica. Vysoka skola zemedelska v Brne. Fakulta agronomicka,Acta Univ Agric Fac Agron
Journal Of The Egyptian Society Of Obstetrics And Gynecology,J Egypt Soc Obstet Gynecol
CA: a cancer journal for clinicians,CA Cancer J Clin
Militargeschichtliche Zeitschrift / herausgegeben vom Militargeschichtlichen Forschungsamt,Militargesch Z
Medioevo romanzo,Medioev Romanzo
Toxicology in vitro : an international journal published in association with BIBRA,Toxicol In Vitro
P \& S quarterly,P S Q
Prostate cancer,Prostate Cancer
Faulkner \& Gray's medicine \& health,Faulkner Grays Med Health
Antaios,Antaios
Journal of drug research,J Drug Res
Boei Ika Daigakko zasshi = Journal of the National Defense Medical College,Boei Ika Daigakko Zasshi
"Rice (New York, N.Y.)",Rice (N Y)
Klinika i lechenie zlokachestvennykh novoobrazovanii,Klin Lech Zlokach Novoobraz
"Clinical medicine insights. Circulatory, respiratory and pulmonary medicine",Clin Med Insights Circ Respir Pulm Med
History workshop,Hist Workshop
Journal of Great Lakes research,J Great Lakes Res
Annals of agricultural and environmental medicine : AAEM,Ann Agric Environ Med
European polymer journal,Eur Polym J
Canadian public policy. Analyse de politiques,Can Public Policy
Chemical physics,Chem Phys
Acta pharmaceutica internationalia,Acta Pharm Int
Gann = Gan,Gann
Journal of family theory \& review,J Fam Theory Rev
Estudios de economia,Estud Econ
Revista de quimica e farmacia,Rev Quim Farm
Bioorganicheskaia khimiia,Bioorg Khim
The National underwriter. Life \& health insurance edition,Natl Underwrit Life Health
Neuroscience and medicine,Neurosci Med
Sports medicine and arthroscopy review,Sports Med Arthrosc
The AIDS reader,AIDS Read
Medicine studies,Med Stud
American journal of respiratory cell and molecular biology,Am J Respir Cell Mol Biol
Skeptic,Skeptic
